block	31	31	31	31	31	31
172	07:50	09:50	12:25	15:10	16:15	18:00
175	07:51	09:51	12:26	15:11	16:16	18:01
133	07:52	09:52	12:27	15:12	16:17	18:02
204	07:53	09:53	12:28	15:13	16:18	18:03
101	07:55	09:55	12:30	15:15	16:20	18:05
104	07:56	09:56	12:31	15:16	16:21	18:06
191	07:57	09:57	12:32	15:17	16:22	18:07
125	07:58	09:58	12:33	15:18	16:23	18:08
164	07:59	09:59	12:34	15:19	16:24	18:09
143	08:00	10:00	12:35	15:20	16:25	18:10
103	08:01	10:01	12:36	15:21	16:26	18:11
148	08:02	10:02	12:37	15:22	16:27	18:12
141	08:03	10:03	12:38	15:23	16:28	18:13
153	08:04	10:04	12:39	15:24	16:29	18:14
130	08:05	10:05	12:40	15:25	16:30	18:15
128	08:06	10:06	12:41	15:26	16:31	18:16
106	08:07	10:07	12:42	15:27	16:32	18:17
115	08:08	10:08	12:43	15:28	16:33	18:18
223	08:09	10:09	12:44	15:29	16:34	18:19
113	08:10	10:10	12:45	15:30	16:35	18:20
158	08:12	10:12	12:47	15:32	16:37	18:22
217	08:14	10:14	12:49	15:34	16:39	18:24
218	08:14	10:14	12:49	15:34	16:39	18:24
157	08:15	10:15	12:50	15:35	16:40	18:25
112	08:17	10:17	12:52	15:37	16:42	18:27
224	08:18	10:18	12:53	15:38	16:43	18:28
114	08:19	10:20	12:54	15:39	16:44	18:29
107	08:20	10:21	12:55	15:40	16:45	18:30
129	08:22	10:22	12:57	15:41	16:47	18:31
131	08:23	10:23	12:58	15:42	16:48	18:32
154	08:24	10:24	12:59	15:43	16:49	18:33
142	08:25	10:25	13:00	15:44	16:50	18:34
147	08:26	10:26	13:02	15:45	16:51	18:35
102	08:27	10:27	13:03	15:46	16:52	18:36
144	08:28	10:28	13:04	15:47	16:53	18:37
163	08:29	10:29	13:05	15:48	16:54	18:38
124	08:30	10:30	13:06	15:49	16:55	18:39
190	08:31	10:31	13:07	15:50	16:56	18:40
105	08:32	10:32	13:08	15:51	16:57	18:41
100	08:33	10:33	13:09	15:52	16:58	18:42
140	08:35	10:35	13:11	15:54	17:00	18:44
165	08:36	10:36	13:13	15:55	17:01	18:45
172	08:37	10:38	13:15	15:56	17:03	18:47
