block	31	31	31	31
172	10:55	14:30	17:20	19:00
170	10:56	14:31	17:21	19:01
150	10:57	14:32	17:22	19:02
200	10:58	14:33	17:23	19:03
126	10:59	14:34	17:24	19:04
160	11:00	14:35	17:25	19:06
174	11:02	14:37	17:27	19:07
161	11:03	14:38	17:28	19:08
108	11:05	14:40	17:30	19:10
195	11:06	14:41	17:31	19:11
117	11:07	14:42	17:32	19:12
217	11:08	14:43	17:33	19:13
218	11:12	14:47	17:37	19:17
118	11:13	14:48	17:38	19:18
189	11:14	14:49	17:39	19:19
109	11:15	14:50	17:40	19:20
162	11:16	14:51	17:41	19:21
173	11:17	14:52	17:42	19:22
204	11:18	14:53	17:43	19:23
159	11:19	14:54	17:44	19:24
127	11:20	14:55	17:45	19:25
201	11:21	14:56	17:46	19:26
149	11:22	14:57	17:47	19:27
171	11:23	14:58	17:48	19:28
172	11:24	14:59	17:49	19:29
