block	132	133	131	132	133	131	132	133	131	132	133	131	132	133	131	132	133	131	132	133	131	132	133	131	132	133	131	132	131	132	131	132	131
167	04:50	05:25	05:50	06:30	06:55	07:15	07:45	08:20	08:50	09:20	09:55	10:25	10:50	11:20	11:50	12:10	12:40	13:10	13:45	14:05	14:35	15:15	15:45	16:10	16:45	17:20	17:50	18:30	19:30	19:55	20:40	21:30	22:10
187	04:52	05:27	05:52	06:32	06:57	07:17	07:47	08:22	08:52	09:22	09:57	10:27	10:52	11:22	11:52	12:12	12:42	13:12	13:47	14:07	14:37	15:17	15:47	16:12	16:47	17:22	17:52	18:32	19:32	19:57	20:42	21:32	22:12
156	04:53	05:28	05:53	06:33	06:58	07:18	07:48	08:23	08:53	09:23	09:58	10:28	10:53	11:23	11:53	12:13	12:43	13:13	13:48	14:08	14:38	15:18	15:48	16:13	16:48	17:23	17:53	18:33	19:33	19:58	20:43	21:33	22:13
214	04:54	05:29	05:54	06:34	07:00	07:20	07:50	08:24	08:54	09:24	09:59	10:29	10:54	11:24	11:54	12:14	12:44	13:14	13:49	14:09	14:40	15:20	15:50	16:14	16:50	17:24	17:54	18:34	19:34	19:59	20:44	21:34	22:14
193	04:55	05:30	05:55	06:35	07:01	07:21	07:51	08:25	08:55	09:25	10:00	10:30	10:55	11:25	11:55	12:15	12:45	13:15	13:50	14:10	14:41	15:21	15:51	16:16	16:51	17:25	17:55	18:35	19:35	20:00	20:45	21:35	22:15
122	04:56	05:31	05:56	06:36	07:02	07:22	07:52	08:27	08:57	09:27	10:02	10:32	10:57	11:27	11:57	12:17	12:47	13:17	13:52	14:12	14:42	15:22	15:52	16:17	16:52	17:27	17:57	18:37	19:36	20:01	20:46	21:36	22:16
180	04:57	05:32	05:57	06:37	07:03	07:23	07:53	08:28	08:58	09:28	10:03	10:33	10:58	11:28	11:58	12:18	12:48	13:18	13:53	14:13	14:43	15:23	15:53	16:18	16:53	17:28	17:58	18:38	19:37	20:02	20:47	21:37	22:17
121	04:58	05:33	05:58	06:38	07:04	07:24	07:54	08:29	08:59	09:29	10:04	10:34	10:59	11:29	11:59	12:19	12:49	13:19	13:54	14:14	14:44	15:24	15:54	16:19	16:54	17:29	17:59	18:39	19:38	20:03	20:48	21:38	22:18
219	04:59	05:34	05:59	06:39	07:05	07:25	07:55	08:30	09:00	09:30	10:05	10:35	11:00	11:30	12:00	12:20	12:50	13:20	13:55	14:15	14:45	15:25	15:55	16:20	16:55	17:30	18:00	18:40	19:39	20:04	20:49	21:39	22:19
145	05:00	05:35	06:00	06:40	07:06	07:26	07:56	08:31	09:01	09:31	10:06	10:36	11:01	11:31	12:01	12:21	12:51	13:21	13:56	14:16	14:46	15:26	15:56	16:21	16:56	17:31	18:01	18:41	19:40	20:05	20:50	21:40	22:20
188	05:02	05:37	06:02	06:42	07:08	07:28	07:58	08:33	09:03	09:33	10:08	10:38	11:03	11:33	12:03	12:23	12:53	13:23	13:58	14:18	14:48	15:28	15:58	16:23	16:58	17:33	18:03	18:43	19:42	20:07	20:52	21:42	22:22
137	05:03	05:38	06:03	06:43	07:09	07:29	07:59	08:34	09:04	09:34	10:09	10:39	11:04	11:34	12:04	12:24	12:54	13:24	13:59	14:19	14:49	15:29	15:59	16:24	16:59	17:34	18:04	18:44	19:43	20:08	20:53	21:43	22:23
136	05:04	05:39	06:04	06:44	07:11	07:31	08:01	08:35	09:05	09:35	10:10	10:40	11:05	11:35	12:05	12:25	12:55	13:25	14:00	14:20	14:51	15:31	16:01	16:26	17:01	17:35	18:05	18:45	19:44	20:09	20:54	21:44	22:24
197	05:06	05:41	06:06	06:46	07:13	07:33	08:03	08:37	09:07	09:37	10:12	10:42	11:07	11:37	12:07	12:27	12:57	13:27	14:02	14:22	14:53	15:33	16:03	16:28	17:03	17:37	18:07	18:47	19:46	20:11	20:56	21:46	22:26
221	05:07	05:42	06:07	06:47	07:14	07:34	08:04	08:38	09:08	09:38	10:13	10:43	11:08	11:38	12:08	12:28	12:58	13:28	14:03	14:23	14:54	15:34	16:04	16:29	17:04	17:38	18:08	18:48	19:47	20:12	20:57	21:47	22:27
109	05:08	05:43	06:08	06:48	07:15	07:35	08:05	08:40	09:10	09:40	10:15	10:45	11:10	11:40	12:10	12:30	13:00	13:30	14:05	14:25	14:55	15:35	16:05	16:30	17:05	17:40	18:10	18:50	19:48	20:13	20:58	21:48	22:28
162	05:09	05:44	06:09	06:49	07:17	07:37	08:07	08:41	09:12	09:42	10:17	10:47	11:12	11:42	12:12	12:31	13:01	13:31	14:06	14:26	14:57	15:37	16:07	16:32	17:07	17:41	18:11	18:51	19:49	20:14	20:59	21:49	22:30
173	05:11	05:46	06:11	06:51	07:18	07:39	08:09	08:43	09:14	09:44	10:19	10:49	11:14	11:44	12:14	12:33	13:03	13:33	14:08	14:28	15:00	15:40	16:10	16:35	17:10	17:43	18:13	18:53	19:51	20:16	21:01	21:51	22:31
204	05:12	05:47	06:12	06:52	07:19	07:40	08:10	08:44	09:15	09:45	10:20	10:50	11:15	11:45	12:15	12:34	13:05	13:35	14:10	14:30	15:02	15:42	16:12	16:37	17:12	17:45	18:14	18:54	19:52	20:17	21:02	21:52	22:32
101	05:14	05:49	06:14	06:54	07:21	07:42	08:12	08:46	09:17	09:47	10:22	10:52	11:17	11:47	12:17	12:36	13:07	13:37	14:12	14:32	15:04	15:44	16:14	16:39	17:14	17:47	18:16	18:56	19:54	20:19	21:04	21:54	22:34
199	05:15	05:50	06:15	06:55	07:22	07:43	08:13	08:47	09:18	09:48	10:23	10:53	11:18	11:48	12:18	12:37	13:08	13:38	14:13	14:33	15:05	15:45	16:15	16:40	17:15	17:48	18:17	18:57	19:55	20:20	21:05	21:55	22:35
183	05:16	05:51	06:16	06:56	07:23	07:44	08:14	08:48	09:19	09:49	10:24	10:54	11:19	11:49	12:19	12:38	13:09	13:39	14:14	14:34	15:06	15:46	16:16	16:41	17:16	17:49	18:18	18:58	19:56	20:21	21:06	21:56	22:36
209	05:17	05:52	06:17	06:57	07:24	07:45	08:15	08:49	09:20	09:50	10:25	10:55	11:20	11:50	12:20	12:39	13:10	13:40	14:15	14:35	15:07	15:47	16:17	16:42	17:17	17:50	18:19	18:59	19:57	20:22	21:07	21:57	22:37
207	05:18	05:53	06:18	06:58	07:25	07:46	08:16	08:50	09:21	09:51	10:26	10:56	11:21	11:51	12:21	12:40	13:11	13:41	14:16	14:36	15:08	15:48	16:18	16:43	17:18	17:51	18:20	19:00	19:58	20:23	21:08	21:58	22:38
178	05:19	05:54	06:19	06:59	07:27	07:47	08:17	08:51	09:22	09:52	10:27	10:57	11:22	11:52	12:22	12:41	13:12	13:42	14:17	14:37	15:09	15:49	16:19	16:44	17:19	17:52	18:21	19:01	19:59	20:24	21:09	21:59	22:39
