block	32	32	32	32	32
178	10:20	12:20	14:20	16:20	18:20
208	10:21	12:21	14:21	16:21	18:21
210	10:22	12:22	14:22	16:22	18:22
184	10:23	12:23	14:23	16:23	18:23
198	10:24	12:24	14:24	16:24	18:24
100	10:25	12:25	14:25	16:25	18:25
140	10:27	12:27	14:27	16:27	18:27
174	10:29	12:29	14:29	16:29	18:29
161	10:30	12:30	14:30	16:30	18:30
108	10:32	12:32	14:32	16:32	18:32
222	10:33	12:33	14:33	16:33	18:33
196	10:34	12:34	14:34	16:34	18:34
188	10:36	12:36	14:36	16:36	18:36
137	10:37	12:37	14:37	16:37	18:37
136	10:38	12:38	14:38	16:38	18:38
146	10:40	12:40	14:40	16:40	18:40
220	10:41	12:41	14:41	16:41	18:41
120	10:42	12:42	14:42	16:42	18:42
179	10:43	12:43	14:43	16:43	18:43
123	10:44	12:44	14:44	16:44	18:44
192	10:45	12:45	14:45	16:45	18:45
213	10:46	12:46	14:46	16:46	18:46
155	10:47	12:47	14:47	16:47	18:47
186	10:48	12:48	14:48	16:48	18:48
167	10:50	12:50	14:50	16:50	18:50
