block	131	132	133	131	132	133	131	132	133	131	132	133	131	132	133	131	132	133	131	132	133	131	132	133	131	132	133	131	132	131	132	131
178	05:00	05:20	06:05	06:35	07:10	07:30	08:15	08:35	09:05	09:35	10:00	10:30	11:00	11:30	12:00	12:30	12:55	13:20	14:00	14:30	15:00	15:30	16:00	16:30	17:00	17:30	18:05	18:30	19:10	20:10	20:50	21:30
208	05:01	05:21	06:06	06:36	07:11	07:31	08:16	08:36	09:06	09:36	10:01	10:31	11:01	11:31	12:01	12:31	12:56	13:21	14:01	14:31	15:01	15:31	16:01	16:31	17:01	17:31	18:06	18:31	19:11	20:11	20:51	21:31
210	05:02	05:22	06:07	06:37	07:12	07:32	08:17	08:37	09:07	09:37	10:02	10:32	11:02	11:32	12:02	12:32	12:57	13:22	14:02	14:32	15:02	15:32	16:02	16:32	17:02	17:32	18:07	18:32	19:12	20:12	20:52	21:32
184	05:03	05:23	06:08	06:38	07:13	07:33	08:18	08:38	09:08	09:38	10:03	10:33	11:03	11:33	12:03	12:33	12:58	13:23	14:03	14:33	15:03	15:33	16:03	16:33	17:03	17:33	18:08	18:33	19:13	20:13	20:53	21:33
198	05:04	05:24	06:09	06:39	07:14	07:34	08:19	08:39	09:09	09:39	10:04	10:34	11:04	11:34	12:04	12:34	12:59	13:24	14:04	14:34	15:04	15:34	16:04	16:34	17:04	17:34	18:09	18:34	19:14	20:14	20:54	21:34
100	05:05	05:25	06:10	06:40	07:15	07:35	08:20	08:40	09:10	09:40	10:05	10:35	11:05	11:35	12:05	12:35	13:00	13:25	14:05	14:35	15:05	15:35	16:05	16:35	17:05	17:35	18:10	18:35	19:15	20:15	20:55	21:35
140	05:07	05:27	06:12	06:42	07:17	07:37	08:22	08:42	09:12	09:42	10:07	10:37	11:07	11:37	12:07	12:37	13:02	13:27	14:07	14:37	15:07	15:37	16:07	16:37	17:07	17:37	18:12	18:36	19:17	20:17	20:57	21:36
174	05:08	05:28	06:14	06:44	07:19	07:39	08:24	08:44	09:14	09:44	10:09	10:39	11:09	11:39	12:09	12:39	13:04	13:29	14:09	14:39	15:09	15:39	16:09	16:39	17:09	17:39	18:14	18:38	19:18	20:18	20:58	21:38
161	05:09	05:29	06:15	06:45	07:20	07:40	08:26	08:45	09:15	09:45	10:10	10:40	11:10	11:40	12:10	12:40	13:05	13:30	14:10	14:40	15:10	15:41	16:11	16:41	17:11	17:41	18:16	18:39	19:19	20:19	20:59	21:39
108	05:11	05:31	06:17	06:47	07:22	07:42	08:28	08:47	09:17	09:47	10:12	10:42	11:12	11:42	12:12	12:42	13:07	13:32	14:12	14:42	15:12	15:43	16:13	16:43	17:13	17:43	18:18	18:41	19:20	20:21	21:01	21:41
222	05:12	05:32	06:18	06:48	07:23	07:43	08:29	08:48	09:18	09:48	10:13	10:43	11:13	11:43	12:13	12:43	13:08	13:33	14:13	14:43	15:13	15:44	16:14	16:44	17:14	17:44	18:19	18:42	19:22	20:22	21:02	21:42
196	05:13	05:33	06:19	06:50	07:24	07:44	08:30	08:49	09:19	09:49	10:14	10:44	11:14	11:44	12:14	12:44	13:09	13:34	14:14	14:44	15:14	15:45	16:15	16:45	17:15	17:45	18:20	18:43	19:23	20:23	21:03	21:43
188	05:15	05:35	06:21	06:52	07:26	07:46	08:32	08:52	09:22	09:52	10:17	10:47	11:17	11:47	12:17	12:47	13:12	13:36	14:17	14:47	15:17	15:48	16:18	16:48	17:18	17:48	18:23	18:45	19:25	20:25	21:05	21:45
137	05:17	05:36	06:23	06:53	07:28	07:47	08:33	08:53	09:23	09:53	10:18	10:48	11:18	11:48	12:18	12:48	13:13	13:38	14:18	14:48	15:18	15:50	16:20	16:50	17:20	17:50	18:25	18:47	19:26	20:27	21:07	21:46
136	05:18	05:37	06:24	06:54	07:29	07:48	08:34	08:54	09:24	09:54	10:19	10:49	11:19	11:49	12:19	12:49	13:14	13:39	14:19	14:49	15:19	15:51	16:21	16:51	17:21	17:51	18:26	18:49	19:27	20:28	21:08	21:47
146	05:19	05:38	06:25	06:55	07:30	07:50	08:36	08:56	09:26	09:56	10:21	10:51	11:21	11:51	12:21	12:51	13:15	13:40	14:20	14:50	15:20	15:52	16:22	16:52	17:22	17:52	18:27	18:51	19:28	20:29	21:09	21:49
220	05:20	05:39	06:26	06:56	07:31	07:51	08:37	08:57	09:27	09:57	10:22	10:52	11:22	11:52	12:22	12:52	13:16	13:41	14:22	14:52	15:22	15:53	16:23	16:53	17:23	17:53	18:28	18:53	19:29	20:30	21:10	21:50
120	05:21	05:40	06:27	06:57	07:32	07:52	08:38	08:58	09:28	09:58	10:23	10:53	11:23	11:53	12:23	12:53	13:17	13:42	14:23	14:53	15:23	15:55	16:25	16:55	17:25	17:55	18:30	18:54	19:30	20:31	21:11	21:51
179	05:22	05:41	06:28	06:58	07:33	07:53	08:39	08:59	09:29	09:59	10:24	10:54	11:24	11:54	12:24	12:54	13:18	13:43	14:24	14:54	15:24	15:56	16:26	16:56	17:26	17:56	18:31	18:55	19:31	20:32	21:12	21:52
123	05:23	05:42	06:29	06:59	07:34	07:54	08:40	09:00	09:30	10:00	10:25	10:55	11:25	11:55	12:25	12:55	13:19	13:44	14:25	14:55	15:25	15:57	16:27	16:57	17:27	17:57	18:32	18:56	19:32	20:33	21:13	21:53
192	05:24	05:43	06:31	07:01	07:36	07:56	08:42	09:02	09:32	10:02	10:27	10:57	11:27	11:57	12:27	12:57	13:21	13:46	14:27	14:57	15:27	15:58	16:29	16:59	17:29	17:59	18:34	18:57	19:34	20:34	21:14	21:54
213	05:25	05:44	06:32	07:02	07:37	07:57	08:43	09:03	09:33	10:03	10:28	10:58	11:28	11:58	12:28	12:58	13:22	13:47	14:28	14:58	15:28	15:59	16:30	17:00	17:30	18:00	18:35	18:59	19:35	20:35	21:15	21:55
155	05:26	05:45	06:33	07:03	07:38	07:58	08:44	09:04	09:34	10:04	10:29	10:59	11:29	11:59	12:29	12:59	13:23	13:48	14:29	14:59	15:29	16:00	16:31	17:01	17:31	18:01	18:36	19:00	19:36	20:36	21:16	21:56
186	05:27	05:46	06:34	07:04	07:39	07:59	08:45	09:05	09:35	10:05	10:30	11:00	11:30	12:00	12:30	13:00	13:24	13:49	14:30	15:00	15:30	16:01	16:32	17:02	17:32	18:02	18:37	19:01	19:37	20:37	21:17	21:57
